,designation,period,provenience,museum_no,accession_no,excavation_no
P230212,N 4990,Old Babylonian,Nippur,N 4990,newpenn,
P230213,CBS 10365,Old Babylonian,Nippur,CBS 10365,,
P230218,N 3997 + N 4918 (+) N 4915 + N 4964,Old Babylonian,Nippur,N 3997 + N 4918 (+) N 4915 + N 4964,newpenn,
P230241,3N-T0922t,Old Babylonian,Nippur,,,3N-T0922t
P230251,3N-T0922h ?,Old Babylonian,Nippur,,,3N-T0922h ?
P230260,A 30156,Old Babylonian,Nippur,A 30156,,3N-T0131
P230273,IM 058459,Old Babylonian,Nippur,IM 058459,,3N-T0395
P230280,CBS 02144,Old Babylonian,uncertain,CBS 02144,,
P230282,CBS 02149,Old Babylonian,uncertain,CBS 02149,,
P230283,CBS 02162,Old Babylonian,uncertain,CBS 02162,,
P230420,CBS 06750,Old Babylonian,uncertain,CBS 06750,,
P230428,CBS 06820,Old Babylonian,uncertain,CBS 06820,,
P230449,CBS 07850,Old Babylonian,Nippur,CBS 07850,,
P230460,CBS 08069,Old Babylonian,uncertain,CBS 08069,,
P230464,CBS 08663 + N 3510,Old Babylonian,Nippur,CBS 08663 + N 3510,,
P230466,CBS 10158,Old Babylonian,Nippur,CBS 10158,,
P230518,CBS 13128,Old Babylonian,Nippur,CBS 13128,,
P230550,UM 29-15-475,Old Babylonian,Nippur,UM 29-15-475,,
P230554,UM 29-15-628,Old Babylonian,Nippur,UM 29-15-628,,
P230558,UM 29-16-018,Old Babylonian,Nippur,UM 29-16-018,,
P230563,UM 29-16-575,Old Babylonian,Nippur,UM 29-16-575,,
P230576,N 3912,Old Babylonian,Nippur,N 3912,,
P230580,N 3930,Old Babylonian,Nippur,N 3930,,
P230591,N 4567,Old Babylonian,Nippur,N 4567,,
P230604,CBS 06798,Old Babylonian,Nippur,CBS 06798,,
P230618,CBS 01206,Old Babylonian,Nippur,CBS 01206,,
P230619,CBS 06685,Old Babylonian,uncertain,CBS 06685,,
P230620,CBS 08868,Old Babylonian,Nippur,CBS 08868,,
